entity_id,canonical_name,aliases,source_records,suggested_canonical,reason
Drug::维生素d,维生素D,维生素D|维生素D及其衍生物制剂,45,维生素D及其衍生物制剂,alias_dictionary_match
Drug::缩宫素,缩宫素,缩宫素|缩宫素注射液,4,缩宫素鼻,dictionary_match
Drug::美托洛尔,美托洛尔,metoprolol|倍他乐克|美多心安|美托洛尔|酒石酸美托洛尔,159,酒石酸美托洛尔,alias_dictionary_match
Drug::胺碘酮,胺碘酮,amiodarone|乙胺碘呋酮|盐酸胺碘酮|盐酸胺碘酮片|胺碘酮|胺碘阑,304,盐酸胺碘酮,alias_dictionary_match
Drug::腺苷,腺苷,腺苷|腺苷注射液,7,腺苷注射液供诊断用,dictionary_match
Drug::苯二氮卓类,苯二氮卓类,安定药|苯二氮卓类,5,安定药,alias_dictionary_match
Drug::苯妥因,苯妥因,苯妥因,55,苯妥英,dictionary_match
Drug::苯妥因钠,苯妥因钠,苯妥因钠,8,苯妥英钠,dictionary_match
Drug::苯妥英钠,苯妥英钠,Arepiati(苯妥英钠)|大仑丁|苯妥因钠|苯妥英|苯妥英钠|苯妥英钠片|苯妥英钠类|苯妥钠英|苯安英钠,490,苯妥英,alias_dictionary_match
Drug::茶苯海明,茶苯海明,茶苯海明|茶苯海明片|贻晗柠,9,茶苯海明缓释,dictionary_match
Drug::莫西沙星,莫西沙星,moxifloxacin|盐酸莫西沙星|盐酸莫西沙星氯化钠注射液|莫西沙星,106,盐酸莫西沙星,alias_dictionary_match
Drug::西咪替丁,西咪替丁,cimetidine|泰胃美|甲氯咪胺|甲氰咪胍|甲氰咪胺|甲腈咪胍|西咪替丁|西咪替丁注射液|西咪替丁片|西米替丁,398,甲氰咪胍,alias_dictionary_match
Drug::西地那非,西地那非,万艾可|伟哥|昔多芬|西地那非|西地那非片|金戈,65,金戈,alias_dictionary_match
Drug::酒石酸溴奠尼定滴眼液,酒石酸溴奠尼定滴眼液,酒石酸溴奠尼定滴眼液,1,酒石酸溴莫尼定,dictionary_match
Drug::酚磺乙胺,酚磺乙胺,酚磺乙胺,1,酚磺乙胺氯化钠,dictionary_match
Drug::金属阳离子,金属阳离子,金属阳离子|金属阳离子（如铁）,2,金属阳离子如铁,alias_dictionary_match
Drug::金属阳离子如铁,金属阳离子（如铁）,金属阳离子（如铁）,1,金属阳离子如铁,dictionary_match
Drug::锂,锂,锂|锂剂|锂化物,38,锂剂,alias_dictionary_match
Drug::阿伐他汀,阿伐他汀,阿伐他汀,6,阿托伐他汀,dictionary_match
Drug::阿司匹林,阿司匹林,ASA|aspirin|拜阿司匹林肠溶片|阿司匹林|阿司匹林咀嚼片|阿司匹林泡腾片|阿司匹林片|阿司匹林缓释片|阿司匹林肠溶片|阿斯匹林,512,阿斯匹林,alias_dictionary_match
Drug::阿奇霉素,阿奇霉素,D分散片|azithromycin|阿奇霉素|阿奇霉素分散片|阿奇霉素注射液|阿奇霉素片|阿奇霉素肠溶片|阿奇霉素颗粒|阿齐红霉素|黄青霉素,148,黄青霉素,alias_dictionary_match
Drug::阿托伐他汀,阿托伐他汀,atorvastatin|立普妥|阿伐他汀|阿托伐他丁|阿托伐他丁钙片|阿托伐他汀|阿托伐他汀钙|阿托伐他汀钙片,259,阿托伐他汀钙,alias_dictionary_match
Drug::阿法骨化醇,阿法骨化醇,阿法骨化醇|阿法骨化醇片,4,阿法骨化醇软,dictionary_match
Drug::骨化三醇,骨化三醇,骨化三醇,3,骨化三醇胶,dictionary_match
Drug::麻黄碱,麻黄碱,麻黄硷|麻黄碱|麻黄素,43,麻黄素,alias_dictionary_match
