entity_id,canonical_name,aliases,source_records,suggested_canonical,reason
Drug::气滞胃痛颗粒,气滞胃痛颗粒,气滞胃痛颗粒,1,气滞胃痛,suffix_stripped
Drug::氢化可的松注射剂,氢化可的松注射剂,氢化可的松注射剂,1,氢化可的松,suffix_stripped
Drug::氢化可的松注射液,氢化可的松注射液,氢化可的松注射液,1,氢化可的松,suffix_stripped
Drug::氨酚伪麻美芬片,氨酚伪麻美芬片,氨酚伪麻美芬片,1,氨酚伪麻美芬,suffix_stripped
Drug::氨酚伪麻那敏片,氨酚伪麻那敏片,氨酚伪麻那敏片,2,氨酚伪麻那敏,suffix_stripped
Drug::氯丙嗪注射液,氯丙嗪注射液,氯丙嗪注射液,2,氯丙嗪,suffix_stripped
Drug::氯化钙注射液,氯化钙注射液,氯化钙注射液,1,氯化钙,suffix_stripped
Drug::泮托拉唑注射液,泮托拉唑注射液,泮托拉唑注射液,1,泮托拉唑,suffix_stripped
Drug::泰诺控释片,泰诺控释片,泰诺控释片,1,泰诺,suffix_stripped
Drug::泼尼松片,泼尼松片,泼尼松片,1,泼尼松,suffix_stripped
Drug::活胃胶囊,活胃胶囊,活胃胶囊,1,活胃,suffix_stripped
Drug::消渴丸,消渴丸,消渴丸,3,消渴,suffix_stripped
Drug::消炎痛片,消炎痛片,消炎痛片,1,消炎痛,suffix_stripped
Drug::清开灵注射液,清开灵注射液,清开灵注射液,3,清开灵,suffix_stripped
Drug::清热解毒片,清热解毒片,清热解毒片,1,清热解毒,suffix_stripped
Drug::清肺排毒颗粒,清肺排毒颗粒,清肺排毒颗粒,2,清肺排毒,suffix_stripped
Drug::温胃舒胶囊,温胃舒胶囊,温胃舒胶囊,1,温胃舒,suffix_stripped
Drug::灯盏细辛注射液,灯盏细辛注射液,灯盏细辛注射液,8,灯盏细辛,suffix_stripped
Drug::热毒宁注射液,热毒宁注射液,热毒宁注射液,11,热毒宁,suffix_stripped
Drug::爱可扶正片,爱可扶正片,爱可扶正片,1,爱可扶正,suffix_stripped
Drug::牛黄消炎丸,牛黄消炎丸,牛黄消炎丸,1,牛黄消炎,suffix_stripped
Drug::牛黄清胃丸,牛黄清胃丸,牛黄清胃丸,1,牛黄清胃,suffix_stripped
Drug::牛黄解毒丸,牛黄解毒丸,牛黄解毒丸,3,牛黄解毒,suffix_stripped
Drug::牛黄解毒片,牛黄解毒片,牛黄解毒片,5,牛黄解毒,suffix_stripped
Drug::环丙沙星缓释片,环丙沙星缓释片,环丙沙星缓释片,1,环丙沙星,suffix_stripped
Drug::珍菊降压片,珍菊降压片,珍菊降压片,2,珍菊降压,suffix_stripped
Drug::甘草酸二铵胶囊,甘草酸二铵胶囊,甘草酸二铵胶囊,1,甘草酸二铵,suffix_stripped
Drug::甘露聚糖肽注射液,甘露聚糖肽注射液,甘露聚糖肽注射液,2,甘露聚糖肽,suffix_stripped
Drug::生脉散,生脉散,生脉散,1,生脉,suffix_stripped
Drug::生脉注射液,生脉注射液,生脉注射液,4,生脉,suffix_stripped
Drug::痧气散,痧气散,痧气散,3,痧气,suffix_stripped
Drug::痰热清注射液,痰热清注射液,痰热清注射液,7,痰热清,suffix_stripped
Drug::白芍总苷胶囊,白芍总苷胶囊,白芍总苷胶囊,1,白芍总苷,suffix_stripped
Drug::白蚀丸,白蚀丸,白蚀丸,2,白蚀,suffix_stripped
Drug::百令胶囊,百令胶囊,百令胶囊,3,百令,suffix_stripped
Drug::益气和胃胶囊,益气和胃胶囊,益气和胃胶囊,1,益气和胃,suffix_stripped
Drug::益气复脉注射液,益气复脉注射液,益气复脉注射液,1,益气复脉,suffix_stripped
Drug::盐酸阿霉素注射液,盐酸阿霉素注射液,盐酸阿霉素注射液,1,盐酸阿霉素,suffix_stripped
Drug::睾丸,睾丸,睾丸片,3,睾丸,suffix_stripped
Drug::硫糖铝咀嚼片,硫糖铝咀嚼片,硫糖铝咀嚼片,1,硫糖铝,suffix_stripped
Drug::硫酸亚铁片,硫酸亚铁片,硫酸亚铁片,2,硫酸亚铁,suffix_stripped
Drug::硫酸妥布霉素注射液,硫酸妥布霉素注射液,硫酸妥布霉素注射液,1,硫酸妥布霉素,suffix_stripped
Drug::硫酸镁注射液,硫酸镁注射液,硫酸镁注射液,1,硫酸镁,suffix_stripped
Drug::碘喉片,碘喉片,碘喉片,1,碘喉,suffix_stripped
Drug::磺胺嘧啶钠注射液,磺胺嘧啶钠注射液,20%磺胺嘧啶钠注射液|磺胺嘧啶钠注射液,2,磺胺嘧啶钠,suffix_stripped
Drug::穿心莲内脂滴丸,穿心莲内脂滴丸,穿心莲内脂滴丸,1,穿心莲内脂,suffix_stripped
Drug::精蛋白生物合成人胰岛素注射液,精蛋白生物合成人胰岛素注射液,精蛋白生物合成人胰岛素注射液,1,精蛋白生物合成人胰岛素,suffix_stripped
Drug::糖钙片,糖钙片,糖钙片,1,糖钙,suffix_stripped
Drug::紫丹银屑胶囊,紫丹银屑胶囊,紫丹银屑胶囊,1,紫丹银屑,suffix_stripped
Drug::红灵散,红灵散,红灵散,3,红灵,suffix_stripped
Drug::红花注射液,红花注射液,红花注射液,2,红花,suffix_stripped
Drug::维拉帕米注射液,维拉帕米注射液,维拉帕米注射液,1,维拉帕米,suffix_stripped
Drug::维生素c注射液,维生素C注射液,维生素C注射液,4,维生素C,suffix_stripped
Drug::维生素k1注射液,维生素K1注射液,维生素K1注射液,1,维生素K1,suffix_stripped
Drug::维生素片,维生素片,维生素片,1,维生素,suffix_stripped
Drug::罗红霉素缓释胶囊,罗红霉素缓释胶囊,罗红霉素缓释胶囊,7,罗红霉素缓释,suffix_stripped
Drug::羊肝丸,羊肝丸,羊肝丸,1,羊肝,suffix_stripped
Drug::美息伪麻片,美息伪麻片,美息伪麻片,1,美息伪麻,suffix_stripped
Drug::美扑伪麻片,美扑伪麻片,美扑伪麻片,1,美扑伪麻,suffix_stripped
Drug::肌醇片,肌醇片,肌醇片,1,肌醇,suffix_stripped
Drug::肠溶阿司匹林片,肠溶阿司匹林片,肠溶阿司匹林片,1,肠溶阿司匹林,suffix_stripped
Drug::肠炎宁片,肠炎宁片,肠炎宁片,1,肠炎宁,suffix_stripped
Drug::肺宝三效片,肺宝三效片,肺宝三效片,1,肺宝三效,suffix_stripped
Drug::肿节风注射液,肿节风注射液,肿节风注射液,2,肿节风,suffix_stripped
Drug::胃加强片,胃加强片,胃加强片,1,胃加强,suffix_stripped
Drug::胃宁散,胃宁散,胃宁散,1,胃宁,suffix_stripped
Drug::胃康胶囊,胃康胶囊,胃康胶囊,1,胃康,suffix_stripped
Drug::胃热清胶囊,胃热清胶囊,胃热清胶囊,2,胃热清,suffix_stripped
Drug::胃蛋白酶片,胃蛋白酶片,胃蛋白酶片,1,胃蛋白酶,suffix_stripped
Drug::胆龙止喘片,胆龙止喘片,胆龙止喘片,1,胆龙止喘,suffix_stripped
Drug::胰酶片,胰酶片,胰酶片,2,胰酶,suffix_stripped
Drug::胺碘酮注射液,胺碘酮注射液,胺碘酮注射液,1,胺碘酮,suffix_stripped
Drug::脉络宁注射液,脉络宁注射液,脉络宁注射液,2,脉络宁,suffix_stripped
Drug::脑宁片,脑宁片,脑宁片,1,脑宁,suffix_stripped
Drug::脱氧核苷酸钠注射液,脱氧核苷酸钠注射液,DNA注射液|脱氧核苷酸钠注射液,2,脱氧核苷酸钠,suffix_stripped
Drug::腹可安片,腹可安片,腹可安片,1,腹可安,suffix_stripped
Drug::舒肝快胃丸,舒肝快胃丸,舒肝快胃丸,1,舒肝快胃,suffix_stripped
Drug::艾考恩丙替片,艾考恩丙替片,艾考恩丙替片,4,艾考恩丙替,suffix_stripped
Drug::苦碟子注射液,苦碟子注射液,苦碟子注射液,3,苦碟子,suffix_stripped
Drug::茵栀黄口服液,茵栀黄口服液,茵栀黄口服液,2,茵栀黄,suffix_stripped
Drug::茵栀黄注射液,茵栀黄注射液,茵栀黄注射液,1,茵栀黄,suffix_stripped
Drug::荆花胃康胶丸,荆花胃康胶丸,荆花胃康胶丸,1,荆花胃康胶,suffix_stripped
Drug::莪术油葡萄糖注射液,莪术油葡萄糖注射液,莪术油葡萄糖注射液,2,莪术油葡萄糖,suffix_stripped
Drug::葛根芩连丸,葛根芩连丸,葛根芩连丸,2,葛根芩连,suffix_stripped
Drug::葛根芩连片,葛根芩连片,葛根芩连片,2,葛根芩连,suffix_stripped
Drug::葡萄糖氯化钠注射液,葡萄糖氯化钠注射液,5%葡萄糖氯化钠注射液|葡萄糖氯化钠注射液,1,葡萄糖氯化钠,suffix_stripped
Drug::葡萄糖钙注射液,葡萄糖钙注射液,葡萄糖钙注射液,1,葡萄糖钙,suffix_stripped
Drug::蒙脱石散,蒙脱石散,蒙脱石散,10,蒙脱石,suffix_stripped
Drug::蒜素胶囊,蒜素胶囊,蒜素胶囊,1,蒜素,suffix_stripped
Drug::藿香正气口服液,藿香正气口服液,藿香正气口服液,1,藿香正气,suffix_stripped
Drug::虎掌叶胶囊,虎掌叶胶囊,虎掌叶胶囊,1,虎掌叶,suffix_stripped
Drug::虚寒胃痛颗粒,虚寒胃痛颗粒,虚寒胃痛颗粒,1,虚寒胃痛,suffix_stripped
Drug::血塞通注射液,血塞通注射液,血塞通注射液,1,血塞通,suffix_stripped
Drug::血必净注射液,血必净注射液,血必净注射液,2,血必净,suffix_stripped
Drug::血脂康胶囊,血脂康胶囊,血脂康胶囊,8,血脂康,suffix_stripped
Drug::血脉清片,血脉清片,血脉清片,1,血脉清,suffix_stripped
Drug::行军散,行军散,行军散,1,行军,suffix_stripped
Drug::西地碘片,西地碘片,西地碘片,1,西地碘,suffix_stripped
