entity_id,canonical_name,aliases,source_records,suggested_canonical,reason
Drug::氢氧化铝制剂,氢氧化铝制剂,氢氧化铝制剂,1,,pseudo_drug_like
Drug::水杨酸制剂,水杨酸制剂,水杨酸制剂,2,,pseudo_drug_like
Drug::水杨酸盐制剂,水杨酸盐制剂,水杨酸盐制剂,4,,pseudo_drug_like
Drug::汞制剂,汞制剂,汞制剂,1,,pseudo_drug_like
Drug::注射用钙制剂,注射用钙制剂,注射用钙制剂,4,,pseudo_drug_like
Drug::注射铁制剂,注射铁制剂,注射铁制剂,1,,pseudo_drug_like
Drug::洋地黄制剂,洋地黄制剂,洋地黄制剂,6,,pseudo_drug_like
Drug::活菌制剂,活菌制剂,活菌制剂,1,,pseudo_drug_like
Drug::消化酶类制剂,消化酶类制剂,消化酶类制剂,4,,pseudo_drug_like
Drug::环孢素软胶囊自微乳化制剂,环孢素软胶囊自微乳化制剂,环孢素软胶囊(自微乳化制剂),2,,pseudo_drug_like
Drug::甘草类制剂,甘草类制剂,甘草类制剂,1,,pseudo_drug_like
Drug::甘草酸制剂,甘草酸制剂,甘草酸制剂,1,,pseudo_drug_like
Drug::碘制剂,碘制剂,碘制剂,2,,pseudo_drug_like
Drug::碳酸酐酶抑制剂,碳酸酐酶抑制剂,碳酸酐酶抑制剂,3,,pseudo_drug_like
Drug::磷制剂,磷制剂,磷制剂,1,,pseudo_drug_like
Drug::磷结合型制剂,磷结合型制剂,磷结合型制剂,1,,pseudo_drug_like
Drug::磷结合性制剂,磷结合性制剂,磷结合性制剂,2,,pseudo_drug_like
Drug::神经肌肉阻滞剂,神经肌肉阻滞剂,神经肌肉阻滞剂,4,,pseudo_drug_like
Drug::神经节阻滞剂,神经节阻滞剂,神经节阻滞剂,3,,pseudo_drug_like
Drug::神经阻滞剂,神经阻滞剂,神经阻滞剂,1,,pseudo_drug_like
Drug::穿心莲制剂,穿心莲制剂,穿心莲制剂,1,,pseudo_drug_like
Drug::糖蛋白iibiiia拮抗剂,糖蛋白IIb/IIIa拮抗剂,糖蛋白IIb/IIIa拮抗剂,1,,pseudo_drug_like
Drug::维生素d制剂,维生素D制剂,维生素D制剂,1,,pseudo_drug_like
Drug::维生素d及其衍生物制剂,维生素D及其衍生物制剂,维生素D及其衍生物制剂,1,,pseudo_drug_like
Drug::维生素k拮抗剂,维生素K拮抗剂,维生素K拮抗剂,1,,pseudo_drug_like
Drug::肾上腺受体阻滞剂,肾上腺受体阻滞剂,肾上腺受体阻滞剂,1,,pseudo_drug_like
Drug::肾上腺能神经阻滞剂,肾上腺能神经阻滞剂,肾上腺能神经阻滞剂,1,,pseudo_drug_like
Drug::胰酶制剂,胰酶制剂,胰酶制剂,6,,pseudo_drug_like
Drug::芳香化酶抑制剂,芳香化酶抑制剂,芳香化酶抑制剂,1,,pseudo_drug_like
Drug::蛋白酶抑制剂,蛋白酶抑制剂,蛋白酶抑制剂,3,,pseudo_drug_like
Drug::血小板糖蛋白iibiiia拮抗剂,血小板糖蛋白IIb/IIIa拮抗剂,血小板糖蛋白IIb/IIIa拮抗剂,1,,pseudo_drug_like
Drug::血小板聚集抑制剂,血小板聚集抑制剂,血小板聚集抑制剂,3,,pseudo_drug_like
Drug::血栓素合成酶抑制剂,血栓素合成酶抑制剂,血栓素合成酶抑制剂,1,,pseudo_drug_like
Drug::血管紧张素ii受体拮抗剂,血管紧张素II受体拮抗剂,ARB|血管紧张素II受体拮抗剂,1,,pseudo_drug_like
Drug::血管紧张素ⅱ受体拮抗剂,血管紧张素Ⅱ受体拮抗剂,血管紧张素Ⅱ受体拮抗剂,2,,pseudo_drug_like
Drug::血管紧张素转化酶抑制剂,血管紧张素转化酶抑制剂,ACEI|血管紧张素转化酶抑制剂,2,,pseudo_drug_like
Drug::血管紧张素转换酶抑制剂,血管紧张素转换酶抑制剂,ACEI|血管紧张素转换酶(ACE)抑制剂|血管紧张素转换酶抑制剂,6,,pseudo_drug_like
Drug::质子泵抑制剂,质子泵抑制剂,PPI|质子泵抑制剂,7,,pseudo_drug_like
Drug::贯叶金丝桃制剂,贯叶金丝桃制剂,贯叶金丝桃制剂,1,,pseudo_drug_like
Drug::选择性5羟色胺再摄取抑制剂,选择性5-羟色胺再摄取抑制剂,选择性5-羟色胺再摄取抑制剂,2,,pseudo_drug_like
Drug::选择性5羟色胺去甲肾上腺素再摄取抑制剂,选择性5-羟色胺去甲肾上腺素再摄取抑制剂,选择性5-羟色胺去甲肾上腺素再摄取抑制剂,1,,pseudo_drug_like
Drug::选择性5羟色胺重摄取抑制剂,选择性5-羟色胺重摄取抑制剂,选择性5-羟色胺重摄取抑制剂,1,,pseudo_drug_like
Drug::选择性β受体拮抗剂,选择性β受体拮抗剂,选择性β受体拮抗剂,1,,pseudo_drug_like
Drug::酪氨酸激酶抑制剂,酪氨酸激酶抑制剂,TKI|酪氨酸激酶抑制剂,2,,pseudo_drug_like
Drug::酶制剂,酶制剂,酶制剂,2,,pseudo_drug_like
Drug::醛固酮拮抗剂,醛固酮拮抗剂,醛固酮拮抗剂|醛固酮的拮抗剂,1,,pseudo_drug_like
Drug::金制剂,金制剂,金制剂,4,,pseudo_drug_like
Drug::钙制剂,钙制剂,钙制剂,3,,pseudo_drug_like
Drug::钙拮抗剂,钙拮抗剂,钙拮抗剂,5,,pseudo_drug_like
Drug::钙离子拮抗剂,钙离子拮抗剂,钙离子拮抗剂,4,,pseudo_drug_like
Drug::钙离子通道拮抗剂,钙离子通道拮抗剂,钙离子通道拮抗剂,1,,pseudo_drug_like
Drug::钙调磷酸酶抑制剂,钙调磷酸酶抑制剂,钙调磷酸酶抑制剂,1,,pseudo_drug_like
Drug::钙通道阻滞剂,钙通道阻滞剂,钙通道阻滞剂,2,,pseudo_drug_like
Drug::铁制剂,铁制剂,铁制剂,21,,pseudo_drug_like
Drug::铋制剂,铋制剂,其他铋制剂|铋制剂,3,,pseudo_drug_like
Drug::铝制剂,铝制剂,铝制剂,4,,pseudo_drug_like
Drug::银杏制剂,银杏制剂,银杏制剂,2,,pseudo_drug_like
Drug::银杏叶制剂,银杏叶制剂,银杏叶制剂,6,,pseudo_drug_like
Drug::锂制剂,锂制剂,锂制剂,7,,pseudo_drug_like
Drug::锂盐制剂,锂盐制剂,锂盐制剂,1,,pseudo_drug_like
Drug::镁制剂,镁制剂,镁制剂,3,,pseudo_drug_like
Drug::长效β2受体激动剂,长效β2受体激动剂,LABAs|长效β2受体激动剂,1,,pseudo_drug_like
Drug::长效硝酸酯制剂,长效硝酸酯制剂,长效硝酸酯制剂,1,,pseudo_drug_like
Drug::阿片制剂,阿片制剂,阿片制剂,2,,pseudo_drug_like
Drug::非二氢吡啶类钙拮抗剂,非二氢吡啶类钙拮抗剂,非二氢吡啶类钙拮抗剂,1,,pseudo_drug_like
Drug::非选择性单胺氧化酶抑制剂,非选择性单胺氧化酶抑制剂,非选择性单胺氧化酶抑制剂,2,,pseudo_drug_like
Drug::颠茄制剂,颠茄制剂,颠茄制剂,2,,pseudo_drug_like
Drug::鸦片制剂,鸦片制剂,鸦片制剂,1,,pseudo_drug_like
Drug::麻黄制剂,麻黄制剂,麻黄制剂,1,,pseudo_drug_like
